"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,3.64851795992168,4.88891549091011
2,4.78603144970748,5.9915071364648
3,5.1321517127837,6.27933074965526
4,5.32933201056833,6.47227805053166
5,5.39732200539378,6.54476703862671
6,5.45281295860003,6.60120509761979
7,5.49816942336082,6.64253622392309
8,5.52634466689882,6.67195891219114
9,5.54475651081643,6.69916828735188
10,5.55969937847667,6.72091022528499
11,5.57754662704543,6.73321987055036
12,5.59166138735835,6.74408056797279
13,5.60311916775433,6.75003315226204
14,5.61258322534059,6.75776817188088
15,5.62106177444201,6.76231787691653
